"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9039","Debtor List Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","15795","Specific Receipt Entry Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","14347","Specific JCNI Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","8939","Contact Profile Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","8358","Insurer Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","8395","Quick Item Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","11712","Specific Sundry Creditor Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","14072","Specific Due In and Due Out Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","10368","Specific Return Parts Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","10548","Specific Purchase Orders Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","7778","Load Payment Authorisation","flexiquote-csr","2026-06-10","failed","2026-06-10","ORM Integration","tests/regression/orm.csr.spec.ts","",""
"","13220","Specific Repairer Quote Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","9827","Specific Debtor Adjustment Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","9372","Specific Other Labour Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","8565","Unscheduled Model Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","9768","Specific Receipts Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","7878","Submit Tax Invoice","flexiquote-csr","2026-06-10","failed","2026-06-10","ORM Integration","tests/regression/orm.csr.spec.ts","",""
"","10471","Specific Misc Quote Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","9135","JCNI Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","10072","Sales Analysis Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","62306","Specific Outstanding Parts Listing Preview","flexiquote-csr","2026-06-10","broken","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","12063","Specific Job Invoiced Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","7854","Create Quote with New Customer","flexiquote-csr","2026-06-10","failed","2026-06-10","Create Quote","tests/smoke/createQuote.csr.spec.ts","",""
"","8265","Payment List Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/listingPreview.csr.spec.ts","",""
"","12313","Specific Quick Invoice Listing Preview","flexiquote-csr","2026-06-10","passed","2026-06-10","Listing Preview","tests/regression/specificRecordPreview.csr.spec.ts","",""
"","0","Create Quote with Existing Customer","flexiquote-csr","2026-06-10","skipped","2026-06-10","Create Quote","tests/smoke/createQuote.csr.spec.ts","",""
"","17056","Quote Creation","flexiquote-csr","2026-06-10","passed","2026-06-10","Auto Save","tests/autoSave/createQuote.csr.spec.ts","",""
